time=0.000000000, qpos=[2.75 0], qvel=[0 0], normal_force=0.0, tangential_force=0.0, Fctrl=[9.9999999999997868 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.999999999999787), damping_force=np.float64(0.0), contact_flag=True, gap=0.0, contact_distance=0.0, rho=nan, mode=BOUNDARY, phase=SETTLE
time=0.001875000, qpos=[2.7500037064697489 0], qvel=[0.0026637117322743761 0], normal_force=9.185426087550143, tangential_force=0.0, Fctrl=[9.9163821782826567 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.996293530250888), damping_force=np.float64(-0.07991135196823128), contact_flag=True, gap=-3.7064697488986553e-06, contact_distance=-3.7064697488986553e-06, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.002000000, qpos=[2.7500040508549044 0], qvel=[0.0027550812436159407 0], normal_force=9.192080685777885, tangential_force=0.0, Fctrl=[9.9132967077869054 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.995949145095384), damping_force=np.float64(-0.08265243730847822), contact_flag=True, gap=-4.050854904402712e-06, contact_distance=-4.050854904402712e-06, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.002125000, qpos=[2.7500044065090603 0], qvel=[0.0028452332463670682 0], normal_force=9.198668305235007, tangential_force=0.0, Fctrl=[9.910236493548469 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.99559349093948), damping_force=np.float64(-0.08535699739101205), contact_flag=True, gap=-4.406509060306263e-06, contact_distance=-4.406509060306263e-06, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.002250000, qpos=[2.7500047732814692 0], qvel=[0.0029341792699062513 0], normal_force=9.205189548252337, tangential_force=0.0, Fctrl=[9.9072013404334047 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.995226718530592), damping_force=np.float64(-0.08802537809718754), contact_flag=True, gap=-4.773281469194757e-06, contact_distance=-4.773281469194757e-06, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.002375000, qpos=[2.7500051510228123 0], qvel=[0.0030219307439288846 0], normal_force=9.211645012721359, tangential_force=0.0, Fctrl=[9.9041910548696315 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.994848977187498), damping_force=np.float64(-0.09065792231786654), contact_flag=True, gap=-5.15102281228863e-06, contact_distance=-5.15102281228863e-06, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.002500000, qpos=[2.750005539585187 0], qvel=[0.0031084989991974183 0], normal_force=9.21803529210004, tangential_force=0.0, Fctrl=[9.9012054448368563 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.994460414812778), damping_force=np.float64(-0.09325496997592254), contact_flag=True, gap=-5.539585187008811e-06, contact_distance=-5.539585187008811e-06, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.002625000, qpos=[2.7500059388220954 0], qvel=[0.0031938952682895204 0], normal_force=9.224360975420465, tangential_force=0.0, Fctrl=[9.8982443198556709 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.994061177904356), damping_force=np.float64(-0.09581685804868562), contact_flag=True, gap=-5.938822095430396e-06, contact_distance=-5.938822095430396e-06, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.002750000, qpos=[2.7500063485884314 0], qvel=[0.0032781306863439211 0], normal_force=9.230622647295279, tangential_force=0.0, Fctrl=[9.8953074909780643 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.993651411568383), damping_force=np.float64(-0.09834392059031763), contact_flag=True, gap=-6.3485884314040675e-06, contact_distance=-6.3485884314040675e-06, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.002875000, qpos=[2.7500067687404677 0], qvel=[0.0033612162918042693 0], normal_force=9.23682088792464, tangential_force=0.0, Fctrl=[9.8923947707779813 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.99323125953211), damping_force=np.float64(-0.10083648875412808), contact_flag=True, gap=-6.768740467677503e-06, contact_distance=-6.768740467677503e-06, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.003000000, qpos=[2.7500071991358461 0], qvel=[0.0034431630271609366 0], normal_force=9.242956273107966, tangential_force=0.0, Fctrl=[9.8895059733388333 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.992800864153661), damping_force=np.float64(-0.1032948908148281), contact_flag=True, gap=-7.199135846125415e-06, contact_distance=-7.199135846125415e-06, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.003125000, qpos=[2.7500076396335635 0], qvel=[0.0035239817396897949 0], normal_force=9.249029374250128, tangential_force=0.0, Fctrl=[9.8866409142455538 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.992360366436248), damping_force=np.float64(-0.10571945219069384), contact_flag=True, gap=-7.639633563538695e-06, contact_distance=-7.639633563538695e-06, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.003250000, qpos=[2.7500080900939614 0], qvel=[0.0036036831821892228 0], normal_force=9.255040758373628, tangential_force=0.0, Fctrl=[9.8837994105726992 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.991909906038376), damping_force=np.float64(-0.10811049546567668), contact_flag=True, gap=-8.09009396141036e-06, contact_distance=-8.09009396141036e-06, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.003375000, qpos=[2.7500085503787131 0], qvel=[0.0036822780137141064 0], normal_force=9.260990988127583, tangential_force=0.0, Fctrl=[9.8809812808753072 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.99144962128673), damping_force=np.float64(-0.1104683404114232), contact_flag=True, gap=-8.550378713056972e-06, contact_distance=-8.550378713056972e-06, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.003500000, qpos=[2.750009020350813 0], qvel=[0.0037597768003075718 0], normal_force=9.266880621800246, tangential_force=0.0, Fctrl=[9.8781863451775997 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.990979649186826), damping_force=np.float64(-0.11279330400922716), contact_flag=True, gap=-9.020350812960487e-06, contact_distance=-9.020350812960487e-06, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.003625000, qpos=[2.7500094998745648 0], qvel=[0.003836190015729741 0], normal_force=9.272710213330123, tangential_force=0.0, Fctrl=[9.8754144249631164 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.990500125435009), damping_force=np.float64(-0.11508570047189223), contact_flag=True, gap=-9.499874564777855e-06, contact_distance=-9.499874564777855e-06, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.003750000, qpos=[2.7500099888155702 0], qvel=[0.003911528042183865 0], normal_force=9.278480312318765, tangential_force=0.0, Fctrl=[9.8726653431640319 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.990011184429548), damping_force=np.float64(-0.11734584126551595), contact_flag=True, gap=-9.988815570238785e-06, contact_distance=-9.988815570238785e-06, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.003875000, qpos=[2.7500104870407167 0], qvel=[0.0039858011710395234 0], normal_force=9.284191464042124, tangential_force=0.0, Fctrl=[9.8699389241518904 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.989512959283076), damping_force=np.float64(-0.1195740351311857), contact_flag=True, gap=-1.0487040716711249e-05, contact_distance=-1.0487040716711249e-05, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.004000000, qpos=[2.750010994418167 0], qvel=[0.0040590196035532444 0], normal_force=9.289844209465382, tangential_force=0.0, Fctrl=[9.8672349937262016 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.9890055818328), damping_force=np.float64(-0.12177058810659733), contact_flag=True, gap=-1.099441816698743e-05, contact_distance=-1.099441816698743e-05, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.004125000, qpos=[2.7500115108173486 0], qvel=[0.0041311934515858469 0], normal_force=9.29543908525754, tangential_force=0.0, Fctrl=[9.8645533791035866 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.988489182651161), damping_force=np.float64(-0.12393580354757541), contact_flag=True, gap=-1.151081734862558e-05, contact_distance=-1.151081734862558e-05, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.004250000, qpos=[2.7500120361089411 0], qvel=[0.0042023327383166028 0], normal_force=9.300976623803312, tangential_force=0.0, Fctrl=[9.8618939089092166 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.987963891058715), damping_force=np.float64(-0.12606998214949808), contact_flag=True, gap=-1.2036108941071433e-05, contact_distance=-1.2036108941071433e-05, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.004375000, qpos=[2.7500125701648659 0], qvel=[0.0042724473989548409 0], normal_force=9.306457353219672, tangential_force=0.0, Fctrl=[9.8592564131652534 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.987429835133899), damping_force=np.float64(-0.12817342196864523), contact_flag=True, gap=-1.2570164865888245e-05, contact_distance=-1.2570164865888245e-05, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.004500000, qpos=[2.7500131128582761 0], qvel=[0.0043415472814480388 0], normal_force=9.311881797371516, tangential_force=0.0, Fctrl=[9.8566407232802469 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.986887141723688), damping_force=np.float64(-0.13024641844344118), contact_flag=True, gap=-1.3112858276098649e-05, contact_distance=-1.3112858276098649e-05, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.004625000, qpos=[2.7500136640635446 0], qvel=[0.0044096421471866301 0], normal_force=9.317250475886402, tangential_force=0.0, Fctrl=[9.8540466720395496 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.986335936455148), damping_force=np.float64(-0.1322892644155989), contact_flag=True, gap=-1.3664063544638338e-05, contact_distance=-1.3664063544638338e-05, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.004750000, qpos=[2.7500142236562537 0], qvel=[0.0044767416717057737 0], normal_force=9.322563904170824, tangential_force=0.0, Fctrl=[9.8514740935949163 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.985776343746089), damping_force=np.float64(-0.1343022501511732), contact_flag=True, gap=-1.4223656253697925e-05, contact_distance=-1.4223656253697925e-05, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.004875000, qpos=[2.7500147915131845 0], qvel=[0.0045428554453837847 0], normal_force=9.327822593427443, tangential_force=0.0, Fctrl=[9.8489228234537638 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.985208486815278), damping_force=np.float64(-0.13628566336151354), contact_flag=True, gap=-1.4791513184508887e-05, contact_distance=-1.4791513184508887e-05, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.005000000, qpos=[2.7500153675123062 0], qvel=[0.0046079929741370748 0], normal_force=9.333027050671317, tangential_force=0.0, Fctrl=[9.8463926984694332 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.984632487693545), damping_force=np.float64(-0.13823978922411223), contact_flag=True, gap=-1.5367512306241338e-05, contact_distance=-1.5367512306241338e-05, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.005125000, qpos=[2.7500159515327662 0], qvel=[0.0046721636801118393 0], normal_force=9.338177778748268, tangential_force=0.0, Fctrl=[9.8438835568301979 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.984048467233553), damping_force=np.float64(-0.1401649104033552), contact_flag=True, gap=-1.5951532766234067e-05, contact_distance=-1.5951532766234067e-05, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.005250000, qpos=[2.7500165434548789 0], qvel=[0.0047353769023720802 0], normal_force=9.343275276351646, tangential_force=0.0, Fctrl=[9.8413952380497314 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.983456545120895), damping_force=np.float64(-0.1420613070711624), contact_flag=True, gap=-1.6543454878892305e-05, contact_distance=-1.6543454878892305e-05, rho=0.0, mode=CONTACT, phase=SETTLE
