time=0.000000000, qpos=[2.75 0], qvel=[0 0], normal_force=0.0, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=0.0, contact_distance=0.0, rho=nan, mode=BOUNDARY, phase=SETTLE
time=0.001375000, qpos=[2.7500024486646826 0], qvel=[0.0022921308193297649 0], normal_force=9.222649617238849, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-2.448664682574986e-06, contact_distance=-2.448664682574986e-06, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.001500000, qpos=[2.7500027473271347 0], qvel=[0.0023892996171749085 0], normal_force=9.232526811374516, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-2.747327134677846e-06, contact_distance=-2.747327134677846e-06, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.001625000, qpos=[2.7500030579813552 0], qvel=[0.0024852337657530941 0], normal_force=9.242314207609915, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-3.0579813552478186e-06, contact_distance=-3.0579813552478186e-06, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.001750000, qpos=[2.7500033804744164 0], qvel=[0.0025799444898018547 0], normal_force=9.252012548980934, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-3.3804744163923317e-06, contact_distance=-3.3804744163923317e-06, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.001875000, qpos=[2.7500037146547816 0], qvel=[0.0026734429211792382 0], normal_force=9.26162257341204, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-3.7146547815503084e-06, contact_distance=-3.7146547815503084e-06, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.002000000, qpos=[2.7500040603722939 0], qvel=[0.0027657400995027329 0], normal_force=9.27114501371997, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-4.060372293945846e-06, contact_distance=-4.060372293945846e-06, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.002125000, qpos=[2.7500044174781655 0], qvel=[0.0028568469727877368 0], normal_force=9.280580597619013, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-4.4174781654859885e-06, contact_distance=-4.4174781654859885e-06, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.002250000, qpos=[2.7500047858249652 0], qvel=[0.0029467743980853599 0], normal_force=9.289930047725967, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-4.7858249652144025e-06, contact_distance=-4.7858249652144025e-06, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.002375000, qpos=[2.7500051652666078 0], qvel=[0.0030355331421196142 0], normal_force=9.299194081565627, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-5.165266607765062e-06, contact_distance=-5.165266607765062e-06, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.002500000, qpos=[2.7500055556583431 0], qvel=[0.0031231338819239108 0], normal_force=9.30837341157992, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-5.555658343148195e-06, contact_distance=-5.555658343148195e-06, rho=0.0, mode=QUASI_STICK, phase=SETTLE
